                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3052,                 1.8013,                 0.8694,                0.52317,                0.34926,                0.33353,                0.20341,                 1.2227,                 1.1131,                0.83499,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.1487,                0.77217,                0.83237,                0.71288,                 0.5925,                0.61469,                0.35375,                 1.1539,                0.77769,                 0.8248,             0.00078033,             0.00078033,             0.00078033
                      3,                 1.1002,                0.70095,                0.83257,                0.73187,                0.60626,                0.61746,                0.36553,                 1.1083,                0.75865,                0.82748,               0.001128,               0.001128,               0.001128
                      4,                 1.1104,                0.67052,                0.82369,                0.77318,                0.63331,                  0.665,                0.43241,                0.92932,                0.62714,                0.81162,              0.0011015,              0.0011015,              0.0011015
                      5,                 1.0765,                0.63371,                0.82286,                0.72179,                 0.6741,                0.69189,                0.43171,                0.96817,                0.58731,                0.81473,               0.001052,               0.001052,               0.001052
                      6,                 1.1205,                0.63989,                0.82003,                0.79635,                0.65691,                0.71488,                0.46122,                0.99095,                0.61181,                0.81518,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.1216,                 0.6041,                0.82099,                0.82045,                0.66946,                0.73786,                  0.458,                0.99231,                0.55337,                0.81535,               0.000953,               0.000953,               0.000953
                      8,                0.99406,                0.54482,                 0.8159,                0.84592,                 0.6721,                0.73279,                0.48439,                0.91282,                0.50735,                0.80948,              0.0009035,              0.0009035,              0.0009035
                      9,                0.99677,                0.54263,                 0.8124,                0.85262,                0.67604,                0.73935,                0.48561,                0.91977,                0.50149,                0.80873,               0.000854,               0.000854,               0.000854
                     10,                0.96249,                0.52276,                0.80882,                 0.8389,                0.68563,                0.74432,                 0.5015,                0.90332,                0.50415,                0.80886,              0.0008045,              0.0008045,              0.0008045
                     11,                 0.9431,                0.51185,                 0.8094,                0.80528,                0.73332,                0.77004,                0.53585,                 0.8432,                0.46899,                0.80419,               0.000755,               0.000755,               0.000755
                     12,                0.89996,                0.47879,                0.80316,                0.81491,                0.72359,                0.76923,                0.53043,                0.82469,                0.45278,                0.80255,              0.0007055,              0.0007055,              0.0007055
                     13,                0.86851,                0.46821,                0.80168,                0.87284,                0.70001,                0.76927,                0.53037,                0.82674,                0.44754,                0.80096,               0.000656,               0.000656,               0.000656
                     14,                0.92597,                0.47967,                0.80429,                0.85039,                0.72103,                0.78106,                0.53387,                 0.8201,                0.44318,                0.80163,              0.0006065,              0.0006065,              0.0006065
                     15,                0.91111,                0.47161,                0.80242,                0.82202,                0.69909,                0.75974,                0.52189,                0.83059,                0.46463,                0.80016,               0.000557,               0.000557,               0.000557
                     16,                0.90891,                0.48205,                0.80497,                0.86147,                0.66169,                0.73263,                0.48341,                0.84826,                0.46891,                0.80166,              0.0005075,              0.0005075,              0.0005075
                     17,                0.80601,                0.43911,                0.80077,                0.80422,                0.69447,                0.76337,                0.52155,                0.82304,                0.45811,                0.80316,               0.000458,               0.000458,               0.000458
                     18,                0.78749,                0.42376,                 0.7974,                0.79978,                0.71747,                0.75912,                0.51618,                0.81321,                0.46151,                0.80003,              0.0004085,              0.0004085,              0.0004085
                     19,                0.79144,                 0.4245,                0.79445,                0.82738,                0.73148,                0.77389,                0.53909,                0.80056,                0.43581,                0.79887,               0.000359,               0.000359,               0.000359
                     20,                0.76722,                0.41323,                0.79477,                0.85667,                0.72226,                0.78023,                0.52939,                0.78415,                0.43546,                0.79839,              0.0003095,              0.0003095,              0.0003095
                     21,                0.78169,                0.40729,                0.79582,                0.82964,                0.74055,                 0.7749,                0.54731,                0.78498,                0.42497,                0.79819,                0.00026,                0.00026,                0.00026
                     22,                0.76563,                0.39921,                0.79466,                0.86531,                0.72375,                0.78062,                0.55118,                0.77825,                 0.4171,                0.79822,              0.0002105,              0.0002105,              0.0002105
                     23,                0.75482,                0.39001,                0.79495,                0.82037,                0.73911,                0.78809,                0.54594,                0.77535,                0.41653,                0.79712,               0.000161,               0.000161,               0.000161
                     24,                0.75207,                0.38697,                0.79488,                0.84586,                0.75366,                0.78495,                0.54586,                0.76963,                0.40246,                0.79778,              0.0001115,              0.0001115,              0.0001115
                     25,                0.73549,                0.37283,                0.79378,                0.84222,                0.75468,                 0.7873,                0.55353,                0.76288,                0.39669,                0.79701,                6.2e-05,                6.2e-05,                6.2e-05
